,text,,label,label_num,
1,"large values of money, offers too good to be true",,,scam,1
2,"Prize, win, congratulations, urgent",,,scam,1
3,"Bad spelling, asking for money , asking for card details, foreign national",,,scam,1
4,"payment required, authorisation required, account blocked, account locked, account suspended, approve now, free prize, free gift, email body addressed to email address instead of name",,,scam,1
5,"Free, official, winner",,,scam,1
6,"discount, money, holiday, voucher, help, waiting,",,,scam,1
7,"won, prize, Nigeria, prince, bank, pay, Amazon, transfer",,,scam,1
8,"Someone has recently accessed your bank account please follow link, large sum of money removed from account, won a free iPhone competition, foreign email addresses",,,scam,1
9,"Vague language, something asking you to do something, talking about money, mentioning foreign countries that aren’t common, talking about brands or companies that I’ve never heard of",,,scam,1
10,Urgent,,,scam,1
11,"Prize, Discount, Special Offer, Error",,,scam,1
12,"Failed payment, payment due, account blocked, breach of security",,,scam,1
13,"urgent, spelling mistakes, requesting information, unauthorised addresses",,,scam,1
14,"Account details, password, money, login",,,scam,1
15,"Password, requests for information, personal information, money, free things",,,scam,1
16,"$, Bitcoin, video, hacker",,,scam,1
17,"Winner, competition, random(ly selected), congratulations, offers of tech i.e ipads and things,",,,scam,1
18,"Prize, win, congratulations, urgent",,,scam,1
19,"Help, small sum, money, accident, charity",,,scam,1
20,"Misspelled words, unprofessionally written email",,,scam,1
21,"Your account has been deactivated, there has been suspicious activity on your account,",,,scam,1
22,"Large sums of money, holidays, research projects, giveaways",,,scam,1
23,"Urgent, account, details, update, login, penis",,,scam,1
24,Change of font and grammar from common use,,,scam,1
25,"HMRC, return, reward, offer, paid, earn,",,,scam,1
26,"You’ve won a contest, collect your reward, license renewal",,,scam,1
27,"Typos, strange content (anything from an unknown user that isn't just a bulletin), unsolicited requests to confirm a password or click a password reset, files to download.",,,scam,1
28,"Bank, Paid, Details, Amazon, Password, Sort, Pin, Call, Attempted, Free, Money, Accident, Crash, Remittance, Claim,",,,scam,1
29,"Money, banks, card details, insurance, accident, hacking, fraud",,,scam,1
30,"Lots of money, winning a competition, offers that just seem too good to be true such a two week holiday on a private island",,,scam,1
31,"Misspelt words, special offers, anything to do with money, unexpected emails from companies with whom I have accounts",,,scam,1
32,"Awarded, details required, update",,,scam,1
33,"Money, identification, contact, banking, personal details, account on hold, change password, my name misspelt",,,scam,1
34,"urgent, immediately, input, password",,,scam,1
35,"Awarded, details required, update",,,scam,1
36,Winner. Chosen,,,scam,1
37,"Incorrect grammar, foreign currencies, Bitcoin, American English, Mrs with no name",,,scam,1
38,"Do not use my name, company I do not know, .com",,,scam,1
39,"typos, grammar, if from government body, involving money, requesting bank details / card payment",,,scam,1
40,"Link clicks,money,fines,bank,",,,,1
41,"Unknown address, foreign name",,,,1
42,"Asking for money, asking me to click on a link.",,,,1
43,"Unsolicited offers, too good to be true, poor spelling, email addresses outside uk",,,scam,1
44,"Money, prize winner, reply to win something, holiday, free trips, win time share,",,,scam,1
45,"money request, foreign places, spelling, grammer",,,scam,1
46,"invoice, payment, verify, blocked",,,scam,1
47,"Money, Bill, You have won xx , can you help.",,,scam,1
48,"Money, Bill, You have won xx , can you help.",,,scam,1
49,"Money, prizes, offers,",,,scam,1
50,"Money, Bill, You have won xx , can you help.",,,scam,1
51,"PayPal , foreign places, strange email address",,,scam,1
52,"Money over £50, anything outside of UK, asking for personal details, phone numbers not labelled as a company, request for information about your computer etc. , saying a program needs updating",,,scam,1
53,"Unreasonable claims, unbelievable offers, if it sounds too good to be true.",,,scam,1
54,"Sender,money,addressee name",,,scam,1
55,"Money, eBay, PayPal, a banks name,",,,scam,1
56,Dear Natalie and then just a link,,,scam,1
57,"Bitcoin, pharmaceuticals, hemp gummies??!, senior discounts, any banking emails, African prince/princesses poorly or starting a business",,,scam,1
58,"Poor spelling, high sums of money, high value goods like watches etc.",,,scam,1
59,"Large amounts of money, HMRC",,,scam,1
60,Anything that quotes free,,,scam,1
61,"Tax rebate, car accident.",,,scam,1
62,"Badly translated into English, you have won a prize, reset your password here, misspelt words, Nigeria",,,scam,1
63,"Hercules you owe us tax from a previous year I can take payment now, A distant relation has left you some money please supply your bank details",,,scam,1
64,"Need help, rich like me, how I made my money, bit coin, Nigeria, Stock Exchange",,,scam,1
